Record Length,2500,Points,Tiempo,Voltaje
Sample Interval,2.0000000234E-07,s,-0.00026999998954,16
Trigger Point,1350,Samples,-0.00026979998802,18
,,,-0.0002695999865,20
,,,-0.00026939998497,20
,,,-0.00026919998345,18
Source,CH1,,-0.00026899998193,20
Vertical Units,Volts,,-0.0002687999804,22
Vertical Scale,50,,-0.00026859997888,22
Vertical Offset,0,,-0.00026839997736,22
Horizontal Units,s,,-0.00026819997584,22
Horizontal Scale,5.000000058E-05,,-0.00026800000342,22
Pt Fmt,Y,,-0.00026780000189,22
Yzero,0.32,,-0.00026760000037,22
Probe Atten,10,,-0.00026739999885,26
,,,-0.00026719999732,24
Note, - 6:27:14 p. m.   11/03/2021,,-0.0002669999958,26
,,,-0.00026679999428,28
,,,-0.00026659999276,26
,,,-0.00026639999123,28
,,,-0.00026619998971,28
,,,-0.00026599998819,28
,,,-0.00026579998666,30
,,,-0.00026559998514,30
,,,-0.00026539998362,30
,,,-0.0002651999821,30
,,,-0.00026499998057,30
,,,-0.00026479997905,32
,,,-0.00026459997753,32
,,,-0.000264399976,32
,,,-0.00026420000358,34
,,,-0.00026400000206,36
,,,-0.00026380000054,32
,,,-0.00026359999902,34
,,,-0.00026339999749,34
,,,-0.00026319999597,36
,,,-0.00026299999445,36
,,,-0.00026279999292,36
,,,-0.0002625999914,38
,,,-0.00026239998988,38
,,,-0.00026219998836,40
,,,-0.00026199998683,38
,,,-0.00026179998531,40
,,,-0.00026159998379,42
,,,-0.00026139998226,40
,,,-0.00026119998074,40
,,,-0.00026099997922,44
,,,-0.0002607999777,44
,,,-0.00026059997617,44
,,,-0.00026040000375,44
,,,-0.00026020000223,42
,,,-0.00026000000071,44
,,,-0.00025979999918,44
,,,-0.00025959999766,46
,,,-0.00025939999614,44
,,,-0.00025919999462,48
,,,-0.00025899999309,46
,,,-0.00025879999157,48
,,,-0.00025859999005,48
,,,-0.00025839998852,48
,,,-0.000258199987,50
,,,-0.00025799998548,52
,,,-0.00025779998396,52
,,,-0.00025759998243,50
,,,-0.00025739998091,52
,,,-0.00025719997939,52
,,,-0.00025699997786,52
,,,-0.00025679997634,54
,,,-0.00025660000392,54
,,,-0.0002564000024,56
,,,-0.00025620000088,54
,,,-0.00025599999935,56
,,,-0.00025579999783,56
,,,-0.00025559999631,58
,,,-0.00025539999478,60
,,,-0.00025519999326,58
,,,-0.00025499999174,58
,,,-0.00025479999022,62
,,,-0.00025459998869,58
,,,-0.00025439998717,62
,,,-0.00025419998565,60
,,,-0.00025399998412,62
,,,-0.0002537999826,62
