,,,Tiempo,Voltaje
Record Length,2500,Points,-0.00026999998954,18
Sample Interval,2.0000000234E-07,s,-0.00026979998802,20
Trigger Point,1350,Samples,-0.0002695999865,22
,,,-0.00026939998497,22
,,,-0.00026919998345,24
,,,-0.00026899998193,24
Source,CH2,,-0.0002687999804,24
Vertical Units,Volts,,-0.00026859997888,24
Vertical Scale,50,,-0.00026839997736,26
Vertical Offset,0,,-0.00026819997584,26
Horizontal Units,s,,-0.00026800000342,28
Horizontal Scale,5.000000058E-05,,-0.00026780000189,26
Pt Fmt,Y,,-0.00026760000037,28
Yzero,0.88,,-0.00026739999885,28
Probe Atten,10,,-0.00026719999732,28
,,,-0.0002669999958,30
Note, - 6:28:10 p. m.   11/03/2021,,-0.00026679999428,30
,,,-0.00026659999276,32
,,,-0.00026639999123,30
,,,-0.00026619998971,30
,,,-0.00026599998819,30
,,,-0.00026579998666,34
,,,-0.00026559998514,30
,,,-0.00026539998362,32
,,,-0.0002651999821,34
,,,-0.00026499998057,36
,,,-0.00026479997905,34
,,,-0.00026459997753,36
,,,-0.000264399976,36
,,,-0.00026420000358,36
,,,-0.00026400000206,38
,,,-0.00026380000054,36
,,,-0.00026359999902,38
,,,-0.00026339999749,38
,,,-0.00026319999597,40
,,,-0.00026299999445,40
,,,-0.00026279999292,42
,,,-0.0002625999914,40
,,,-0.00026239998988,42
,,,-0.00026219998836,42
,,,-0.00026199998683,44
,,,-0.00026179998531,42
,,,-0.00026159998379,42
,,,-0.00026139998226,46
,,,-0.00026119998074,42
,,,-0.00026099997922,46
,,,-0.0002607999777,48
,,,-0.00026059997617,46
,,,-0.00026040000375,46
,,,-0.00026020000223,48
,,,-0.00026000000071,48
,,,-0.00025979999918,48
,,,-0.00025959999766,50
,,,-0.00025939999614,50
,,,-0.00025919999462,50
,,,-0.00025899999309,54
,,,-0.00025879999157,52
,,,-0.00025859999005,54
,,,-0.00025839998852,52
,,,-0.000258199987,54
,,,-0.00025799998548,54
,,,-0.00025779998396,54
,,,-0.00025759998243,56
,,,-0.00025739998091,54
,,,-0.00025719997939,56
,,,-0.00025699997786,54
,,,-0.00025679997634,58
,,,-0.00025660000392,56
,,,-0.0002564000024,58
,,,-0.00025620000088,58
,,,-0.00025599999935,60
,,,-0.00025579999783,60
,,,-0.00025559999631,60
,,,-0.00025539999478,62
,,,-0.00025519999326,62
,,,-0.00025499999174,62
,,,-0.00025479999022,64
,,,-0.00025459998869,62
,,,-0.00025439998717,62
,,,-0.00025419998565,66
,,,-0.00025399998412,64
,,,-0.0002537999826,66
,,,-0.00025359998108,66
,,,-0.00025339997956,68
,,,-0.00025319997803,66
,,,-0.00025299997651,68
,,,-0.00025279997499,68
,,,-0.00025260000257,70
,,,-0.00025240000105,70
,,,-0.00025219999952,72
,,,-0.000251999998,70
,,,-0.00025179999648,72
,,,-0.00025159999495,72
,,,-0.00025139999343,72
,,,-0.00025119999191,74
,,,-0.00025099999039,74
,,,-0.00025079998886,72
,,,-0.00025059998734,74
,,,-0.00025039998582,76
,,,-0.00025019998429,76
,,,-0.00024999998277,76
,,,-0.00024979998125,76
,,,-0.00024959997972,78
,,,-0.0002493999782,80
,,,-0.00024919997668,80
,,,-0.00024899997516,80
,,,-0.00024880000274,80
,,,-0.00024860000121,82
,,,-0.00024839999969,82
,,,-0.00024819999817,82
,,,-0.00024799999665,82
,,,-0.00024779999512,84
,,,-0.0002475999936,82
,,,-0.00024739999208,84
,,,-0.00024719999055,84
,,,-0.00024699998903,84
,,,-0.00024679998751,86
,,,-0.00024659998599,86
,,,-0.00024639998446,88
,,,-0.00024619998294,86
,,,-0.00024599998142,88
,,,-0.00024579997989,88
,,,-0.00024559997837,88
,,,-0.00024539997685,88
,,,-0.00024519997532,92
,,,-0.00024500000291,92
,,,-0.00024480000138,92
,,,-0.00024459999986,92
,,,-0.00024439999834,94
,,,-0.00024419999681,94
,,,-0.00024399999529,94
,,,-0.00024379999377,96
,,,-0.00024359999225,96
,,,-0.00024339999072,94
,,,-0.0002431999892,98
,,,-0.00024299998768,96
,,,-0.00024279998615,96
,,,-0.00024259998463,100
,,,-0.00024239998311,98
,,,-0.00024219999614,100
,,,-0.00024199999461,100
,,,-0.00024179999309,100
,,,-0.00024159999157,102
,,,-0.00024139999005,100
,,,-0.00024119998852,102
,,,-0.000240999987,102
,,,-0.00024079998548,102
,,,-0.00024059998395,100
,,,-0.00024039998243,104
,,,-0.00024019999546,104
,,,-0.00023999999394,104
,,,-0.00023979999241,106
,,,-0.00023959999089,108
,,,-0.00023939998937,106
,,,-0.00023919998785,108
,,,-0.00023899998632,108
,,,-0.0002387999848,108
,,,-0.00023859998328,110
,,,-0.00023839999631,110
,,,-0.00023819999478,110
,,,-0.00023799999326,112
,,,-0.00023779999174,112
,,,-0.00023759999021,110
,,,-0.00023739998869,112
,,,-0.00023719998717,114
,,,-0.00023699998565,114
,,,-0.00023679998412,112
,,,-0.0002365999826,112
,,,-0.00023639999563,114
,,,-0.00023619999411,116
,,,-0.00023599999258,116
,,,-0.00023579999106,116
,,,-0.00023559998954,116
,,,-0.00023539998801,118
,,,-0.00023519998649,118
,,,-0.00023499998497,118
,,,-0.00023479998345,118
,,,-0.00023459998192,116
,,,-0.00023439999495,118
,,,-0.00023419999343,120
,,,-0.00023399999191,118
,,,-0.00023379999038,120
,,,-0.00023359998886,120
,,,-0.00023339998734,120
,,,-0.00023319998581,120
,,,-0.00023299998429,120
,,,-0.00023279998277,120
,,,-0.0002325999958,120
,,,-0.00023239999427,122
,,,-0.00023219999275,120
,,,-0.00023199999123,122
,,,-0.00023179998971,122
,,,-0.00023159998818,122
,,,-0.00023139998666,120
,,,-0.00023119998514,122
,,,-0.00023099998361,122
,,,-0.00023079998209,122
,,,-0.00023059999512,122
,,,-0.0002303999936,122
,,,-0.00023019999207,124
,,,-0.00022999999055,124
,,,-0.00022979998903,122
,,,-0.00022959998751,122
,,,-0.00022939998598,124
,,,-0.00022919998446,124
,,,-0.00022899998294,120
,,,-0.00022879999597,124
,,,-0.00022859999444,124
,,,-0.00022839999292,124
,,,-0.0002281999914,124
,,,-0.00022799998987,124
,,,-0.00022779998835,124
,,,-0.00022759998683,124
,,,-0.00022739998531,124
,,,-0.00022719998378,124
,,,-0.00022699998226,124
,,,-0.00022679999529,124
,,,-0.00022659999377,122
,,,-0.00022639999224,124
,,,-0.00022619999072,124
,,,-0.0002259999892,122
,,,-0.00022579998767,124
,,,-0.00022559998615,122
,,,-0.00022539998463,124
,,,-0.00022519998311,124
,,,-0.00022499999614,124
,,,-0.00022479999461,124
,,,-0.00022459999309,124
,,,-0.00022439999157,124
,,,-0.00022419999004,124
,,,-0.00022399998852,124
,,,-0.000223799987,124
,,,-0.00022359998547,124
,,,-0.00022339998395,126
,,,-0.00022319998243,122
,,,-0.00022299999546,122
,,,-0.00022279999394,124
,,,-0.00022259999241,124
,,,-0.00022239999089,124
,,,-0.00022219998937,126
,,,-0.00022199998784,124
,,,-0.00022179998632,122
,,,-0.0002215999848,124
,,,-0.00022139998327,124
,,,-0.00022119998175,124
,,,-0.00022099999478,124
,,,-0.00022079999326,122
