Record Length,2500,Points,Tiempo1,Voltaje1,,,,,Tiempo2,Voltaje2
Sample Interval,1E-06,s,-0.0012500001,-3,,Record Length,2500,Points,-0.0012500001,-99.200004578
Trigger Point,1250.0002,Samples,-0.0012490001,-3,,Sample Interval,1E-06,s,-0.0012490001,-100
,,,-0.0012480001,-3,,Trigger Point,1250.0002,Samples,-0.0012480001,-99.200004578
,,,-0.0012470001,-3,,,,,-0.0012470001,-99.200004578
,,,-0.0012460001,-3.20000005,,,,,-0.0012460001,-99.200004578
Source,CH1,,-0.0012450001,-2.79999995,,,,,-0.0012450001,-99.200004578
Vertical Units,Volts,,-0.001244,-3,,Source,CH2,,-0.001244,-99.200004578
Vertical Scale,5.00000007,,-0.001243,-3,,Vertical Units,Volts,,-0.001243,-99.200004578
Vertical Offset,0,,-0.0012420001,-3,,Vertical Scale,20.0000003,,-0.0012420001,-99.200004578
Horizontal Units,s,,-0.0012410001,-3,,Vertical Offset,0,,-0.0012410001,-99.200004578
Horizontal Scale,0.00024999999937,,-0.0012400001,-3,,Horizontal Units,s,,-0.0012400001,-99.200004578
Pt Fmt,Y,,-0.0012390001,-3,,Horizontal Scale,0.00024999999937,,-0.0012390001,-99.200004578
Yzero,0.24,,-0.0012380001,-3,,Pt Fmt,Y,,-0.0012380001,-99.200004578
Probe Atten,10,,-0.0012370001,-3,,Yzero,2.92,,-0.0012370001,-99.200004578
,,,-0.0012360001,-3,,Probe Atten,10,,-0.0012360001,-99.200004578
Note, - 7:07:00 p. m.   11/03/2021,,-0.0012350001,-3,,,,,-0.0012350001,-99.200004578
,,,-0.0012340001,-3,,Note, - 7:07:00 p. m.   11/03/2021,,-0.0012340001,-99.200004578
,,,-0.0012330001,-3,,,,,-0.0012330001,-99.200004578
,,,-0.0012320001,-3,,,,,-0.0012320001,-99.200004578
,,,-0.0012310001,-3,,,,,-0.0012310001,-99.200004578
,,,-0.0012300001,-3,,,,,-0.0012300001,-98.400001526
,,,-0.001229,-3,,,,,-0.001229,-99.200004578
,,,-0.001228,-3,,,,,-0.001228,-99.200004578
,,,-0.0012270001,-3,,,,,-0.0012270001,-99.200004578
,,,-0.0012260001,-3,,,,,-0.0012260001,-100
,,,-0.0012250001,-3,,,,,-0.0012250001,-99.200004578
,,,-0.0012240001,-2.79999995,,,,,-0.0012240001,-99.200004578
,,,-0.0012230001,-3,,,,,-0.0012230001,-99.200004578
,,,-0.0012220001,-2.79999995,,,,,-0.0012220001,-99.200004578
,,,-0.0012210001,-3,,,,,-0.0012210001,-99.200004578
,,,-0.0012200001,-3,,,,,-0.0012200001,-99.200004578
,,,-0.0012190001,-3,,,,,-0.0012190001,-99.200004578
,,,-0.0012180001,-3.20000005,,,,,-0.0012180001,-99.200004578
,,,-0.0012170001,-3,,,,,-0.0012170001,-99.200004578
,,,-0.0012160001,-3,,,,,-0.0012160001,-99.200004578
,,,-0.0012150001,-3,,,,,-0.0012150001,-99.200004578
,,,-0.001214,-3,,,,,-0.001214,-99.200004578
,,,-0.001213,-3,,,,,-0.001213,-98.400001526
,,,-0.001212,-3,,,,,-0.001212,-99.200004578
,,,-0.0012110001,-3,,,,,-0.0012110001,-99.200004578
,,,-0.0012100001,-3.20000005,,,,,-0.0012100001,-99.200004578
,,,-0.0012090001,-3.20000005,,,,,-0.0012090001,-99.200004578
,,,-0.0012080001,-2.79999995,,,,,-0.0012080001,-99.200004578
,,,-0.0012070001,-2.79999995,,,,,-0.0012070001,-99.200004578
,,,-0.0012060001,-3,,,,,-0.0012060001,-99.200004578
,,,-0.0012050001,-3,,,,,-0.0012050001,-99.200004578
,,,-0.0012040001,-3,,,,,-0.0012040001,-99.200004578
,,,-0.0012030001,-3,,,,,-0.0012030001,-99.200004578
,,,-0.0012020001,-3,,,,,-0.0012020001,-99.200004578
,,,-0.0012010001,-2.79999995,,,,,-0.0012010001,-99.200004578
,,,-0.0012000001,-3,,,,,-0.0012000001,-99.200004578
,,,-0.001199,-3,,,,,-0.001199,-99.200004578
,,,-0.001198,-3,,,,,-0.001198,-99.200004578
,,,-0.001197,-3,,,,,-0.001197,-99.200004578
,,,-0.0011960001,-2.79999995,,,,,-0.0011960001,-99.200004578
,,,-0.0011950001,-2.79999995,,,,,-0.0011950001,-99.200004578
,,,-0.0011940001,-2.79999995,,,,,-0.0011940001,-99.200004578
,,,-0.0011930001,-3,,,,,-0.0011930001,-99.200004578
,,,-0.0011920001,-3,,,,,-0.0011920001,-99.200004578
,,,-0.0011910001,-3,,,,,-0.0011910001,-99.200004578
,,,-0.0011900001,-3,,,,,-0.0011900001,-99.200004578
,,,-0.0011890001,-3,,,,,-0.0011890001,-99.200004578
,,,-0.0011880001,-3,,,,,-0.0011880001,-99.200004578
,,,-0.0011870001,-3,,,,,-0.0011870001,-99.200004578
,,,-0.0011860001,-3,,,,,-0.0011860001,-99.200004578
,,,-0.0011850001,-3,,,,,-0.0011850001,-99.200004578
,,,-0.0011840001,-3,,,,,-0.0011840001,-100
,,,-0.001183,-3,,,,,-0.001183,-99.200004578
,,,-0.001182,-3,,,,,-0.001182,-99.200004578
,,,-0.0011810001,-3,,,,,-0.0011810001,-99.200004578
,,,-0.0011800001,-3,,,,,-0.0011800001,-99.200004578
,,,-0.0011790001,-3.20000005,,,,,-0.0011790001,-99.200004578
,,,-0.0011780001,-3,,,,,-0.0011780001,-99.200004578
,,,-0.0011770001,-3,,,,,-0.0011770001,-99.200004578
,,,-0.0011760001,-3,,,,,-0.0011760001,-99.200004578
,,,-0.0011750001,-3.20000005,,,,,-0.0011750001,-99.200004578
,,,-0.0011740001,-3,,,,,-0.0011740001,-99.200004578
,,,-0.0011730001,-3,,,,,-0.0011730001,-99.200004578
,,,-0.0011720001,-2.79999995,,,,,-0.0011720001,-99.200004578
,,,-0.0011710001,-3,,,,,-0.0011710001,-99.200004578
,,,-0.0011700001,-2.79999995,,,,,-0.0011700001,-99.200004578
,,,-0.0011690001,-3,,,,,-0.0011690001,-99.200004578
,,,-0.001168,-3,,,,,-0.001168,-99.200004578
,,,-0.001167,-3,,,,,-0.001167,-98.400001526
,,,-0.001166,-3,,,,,-0.001166,-99.200004578
,,,-0.0011650001,-3,,,,,-0.0011650001,-99.200004578
,,,-0.0011640001,-3,,,,,-0.0011640001,-99.200004578
,,,-0.0011630001,-3,,,,,-0.0011630001,-99.200004578
,,,-0.0011620001,-3,,,,,-0.0011620001,-99.200004578
,,,-0.0011610001,-3,,,,,-0.0011610001,-99.200004578
,,,-0.0011600001,-3.20000005,,,,,-0.0011600001,-99.200004578
