,,,-1.1910001E-3,-2.2000000,,,,,-1.1910001E-3,-91.200004578,
,,,-1.1900001E-3,-2.0000000,,,,,-1.1900001E-3,-90.400001526,
,,,-1.1890001E-3,-1.8000001,,,,,-1.1890001E-3,-90.400001526,
,,,-1.1880001E-3,-1.4000000,,,,,-1.1880001E-3,-88.800003052,
,,,-1.1870001E-3,-1.2000000,,,,,-1.1870001E-3,-88.800003052,
,,,-1.1860001E-3,-1.000000,,,,,-1.1860001E-3,-88.000000000,
,,,-1.1850001E-3,-600.000023842E-3,,,,,-1.1850001E-3,-87.200004578,
,,,-1.1840001E-3,-400.00000596E-3,,,,,-1.1840001E-3,-87.200004578,
,,,-1.1830000E-3,-200.00000298E-3,,,,,-1.1830000E-3,-86.400001526,
,,,-1.1820000E-3,200.00000298E-3,,,,,-1.1820000E-3,-85.599998474,
,,,-1.1810001E-3,400.00000596E-3,,,,,-1.1810001E-3,-85.599998474,
,,,-1.1800001E-3,800.000011921E-3,,,,,-1.1800001E-3,-84.800003052,
,,,-1.1790001E-3,1.000000,,,,,-1.1790001E-3,-84.000000000,
,,,-1.1780001E-3,1.4000000,,,,,-1.1780001E-3,-83.200004578,
,,,-1.1770001E-3,1.6000000,,,,,-1.1770001E-3,-82.400001526,
,,,-1.1760001E-3,2.2000000,,,,,-1.1760001E-3,-82.400001526,
,,,-1.1750001E-3,2.4000001,,,,,-1.1750001E-3,-81.599998474,
,,,-1.1740001E-3,2.4000001,,,,,-1.1740001E-3,-80.800003052,
,,,-1.1730001E-3,2.79999995,,,,,-1.1730001E-3,-80.000000000,
,,,-1.1720001E-3,3.00000000,,,,,-1.1720001E-3,-79.200004578,
,,,-1.1710001E-3,3.20000005,,,,,-1.1710001E-3,-79.200004578,
,,,-1.1700001E-3,3.60000014,,,,,-1.1700001E-3,-78.400001526,
,,,-1.1690001E-3,3.79999995,,,,,-1.1690001E-3,-78.400001526,
,,,-1.1680000E-3,4.20000029,,,,,-1.1680000E-3,-77.599998474,
,,,-1.1670000E-3,4.40000010,,,,,-1.1670000E-3,-76.800003052,
,,,-1.1660000E-3,4.59999990,,,,,-1.1660000E-3,-76.000000000,
,,,-1.1650001E-3,5.00000000,,,,,-1.1650001E-3,-75.200004578,
,,,-1.1640001E-3,5.40000010,,,,,-1.1640001E-3,-74.400001526,
,,,-1.1630001E-3,5.40000010,,,,,-1.1630001E-3,-74.400001526,
,,,-1.1620001E-3,5.80000019,,,,,-1.1620001E-3,-72.800003052,
,,,-1.1610001E-3,6.00000000,,,,,-1.1610001E-3,-72.000000000,
,,,-1.1600001E-3,6.20000029,,,,,-1.1600001E-3,-72.000000000,
,,,-1.1590001E-3,6.59999990,,,,,-1.1590001E-3,-71.200004578,
,,,-1.1580001E-3,6.80000019,,,,,-1.1580001E-3,-69.599998474,
,,,-1.1570001E-3,7.00000000,,,,,-1.1570001E-3,-69.599998474,
,,,-1.1560001E-3,7.20000029,,,,,-1.1560001E-3,-68.800003052,
