Record Length,2500,Points,,,Tiempo,Voltaje,
,,,,-2,3000000,2.560.000.038,
,,,,-2,2000000,2.639.999.962,
,,,,-2,2000000,2.560.000.038,
,,,,-2,2000000,2.639.999.962,
,,,,-2,2000000,2.560.000.038,
,,,,-2,2000000,2.480.000.114,
,,,,-2,1000000,2.560.000.038,
,,,,-2,1000000,2.560.000.038,
,,,,-2,1000000,2.480.000.114,
,,,,-2,100000,2.560.000.038,
,,,,-2,100000,2.400.000.000,
,,,,-2,0,2.480.000.114,
,,,,-2,0,2.480.000.114,
,,,,-2,0,2.480.000.114,
,,,,-2,0,2.480.000.114,
,,,,-2,0,2.400.000.000,
,,,,-1,9900000,2.480.000.114,
,,,,-1,9900000,2.400.000.000,
,,,,-1,9900000,2.320.000.076,
,,,,-1,9900000,2.400.000.000,
,,,,-1,9900000,2.320.000.076,
,,,,-1,9800000,2.400.000.000,
,,,,-1,9800000,2.400.000.000,
,,,,-1,9800000,2.320.000.076,
,,,,-1,9800000,2.320.000.076,
,,,,-1,9800000,2.239.999.962,
,,,,-1,9700000,2.239.999.962,
,,,,-1,9700000,2.320.000.076,
,,,,-1,9700000,2.239.999.962,
,,,,-1,9700000,2.320.000.076,
,,,,-1,9700000,2.239.999.962,
,,,,-1,9600000,2.160.000.038,
,,,,-1,9600000,2.239.999.962,
,,,,-1,9600000,2.160.000.038,
,,,,-1,9600000,2.160.000.038,
,,,,-1,9600000,2.160.000.038,
,,,,-1,9500000,2.080.000.114,
,,,,-1,9500000,2.160.000.038,
,,,,-1,9500000,2.080.000.114,
,,,,-1,9500000,2.080.000.114,
,,,,-1,9500000,2.160.000.038,
,,,,-1,9400000,2.080.000.114,
,,,,-1,9400000,2.080.000.114,
,,,,-1,9400000,2.080.000.114,
,,,,-1,9400000,200.000.000,
,,,,-1,9400000,200.000.000,
,,,,-1,9300000,200.000.000,
,,,,-1,9300000,200.000.000,
,,,,-1,9300000,200.000.000,
,,,,-1,9300000,192.000.008,
,,,,-1,9300000,200.000.000,
,,,,-1,9200000,192.000.008,
,,,,-1,9200000,192.000.008,
,,,,-1,9200000,192.000.008,
,,,,-1,9200000,183.999.996,
,,,,-1,9200000,192.000.008,
,,,,-1,9100000,192.000.008,
,,,,-1,9100000,183.999.996,
,,,,-1,9100000,183.999.996,
,,,,-1,9100000,183.999.996,
,,,,-1,9100000,183.999.996,
,,,,-1,9000000,183.999.996,
,,,,-1,9000000,176.000.004,
,,,,-1,9000000,176.000.004,
,,,,-1,9000000,168.000.011,
,,,,-1,9000000,168.000.011,
,,,,-1,8900000,168.000.011,
,,,,-1,8900000,176.000.004,
,,,,-1,8900000,168.000.011,
,,,,-1,8900000,168.000.011,
,,,,-1,8900000,168.000.011,
,,,,-1,8800000,168.000.011,
,,,,-1,8800000,160.000.000,
,,,,-1,8800000,160.000.000,
,,,,-1,8800000,168.000.011,
,,,,-1,8800000,151.999.998,
,,,,-1,8700000,151.999.998,
,,,,-1,8700000,151.999.998,
,,,,-1,8700000,151.999.998,
,,,,-1,8700000,160.000.000,
,,,,-1,8700000,144.000.006,
,,,,-1,8600000,144.000.006,
,,,,-1,8600000,144.000.006,
,,,,-1,8600000,144.000.006,
,,,,-1,8600000,144.000.006,
,,,,-1,8600000,144.000.006,
,,,,-1,8500000,136.000.004,
,,,,-1,8500000,136.000.004,
,,,,-1,8500000,136.000.004,
,,,,-1,8500000,136.000.004,
,,,,-1,8500000,136.000.004,
,,,,-1,8400000,136.000.004,
,,,,-1,8400000,128.000.002,
,,,,-1,8400000,128.000.002,
,,,,-1,8400000,128.000.002,
,,,,-1,8400000,128.000.002,
,,,,-1,8300000,120.000.000,
,,,,-1,8300000,128.000.002,
,,,,-1,8300000,120.000.000,
,,,,-1,8300000,128.000.002,
,,,,-1,8300000,120.000.000,
,,,,-1,8200000,111.999.998,
,,,,-1,8200000,120.000.000,
,,,,-1,8200000,120.000.000,
,,,,-1,8200000,111.999.998,
,,,,-1,8200000,111.999.998,
,,,,-1,8100000,104.000.006,
,,,,-1,8100000,111.999.998,
,,,,-1,8100000,104.000.006,
,,,,-1,8100000,104.000.006,
,,,,-1,8100000,104.000.006,
,,,,-1,8000000,104.000.006,
,,,,-1,8000000,104.000.006,
,,,,-1,8000000,9.600.000.381,
,,,,-1,8000000,9.600.000.381,
,,,,-1,8000000,8.800.000.191,
,,,,-1,7900000,9.600.000.381,
,,,,-1,7900000,8.800.000.191,
,,,,-1,7900000,8.800.000.191,
,,,,-1,7900000,8.800.000.191,
,,,,-1,7900000,8.000.000.000,
,,,,-1,7800000,8.800.000.191,
,,,,-1,7800000,8.000.000.000,
,,,,-1,7800000,8.800.000.191,
,,,,-1,7800000,720.000.029,
,,,,-1,7800000,720.000.029,
,,,,-1,7700000,720.000.029,
,,,,-1,7700000,720.000.029,
,,,,-1,7700000,640.000.010,
,,,,-1,7700000,640.000.010,
,,,,-1,7700000,640.000.010,
,,,,-1,7600000,640.000.010,
,,,,-1,7600000,640.000.010,
,,,,-1,7600000,640.000.010,
,,,,-1,7600000,559.999.990,
,,,,-1,7600000,559.999.990,
,,,,-1,7500000,559.999.990,
,,,,-1,7500000,559.999.990,
,,,,-1,7500000,480.000.019,
,,,,-1,7500000,480.000.019,
,,,,-1,7500000,400.000.000,
,,,,-1,7400000,400.000.000,
,,,,-1,7400000,480.000.019,
,,,,-1,7400000,400.000.000,
,,,,-1,7400000,400.000.000,
,,,,-1,7400000,400.000.000,
,,,,-1,7300000,320.000.005,
,,,,-1,7300000,400.000.000,
,,,,-1,7300000,320.000.005,
,,,,-1,7300000,320.000.005,
,,,,-1,7300000,320.000.005,
,,,,-1,7200000,320.000.005,
,,,,-1,7200000,320.000.005,
,,,,-1,7200000,24.000.001,
,,,,-1,7200000,24.000.001,
,,,,-1,7200000,24.000.001,
,,,,-1,7100000,16.000.000,
,,,,-1,7100000,16.000.000,
,,,,-1,7100000,16.000.000,
,,,,-1,7100000,16.000.000,
,,,,-1,7100000,16.000.000,0
,,,,-1,7000000,8,0
,,,,-1,7000000,8,0
,,,,-1,7000000,8,0
,,,,-1,7000000,8,0
,,,,-1,7000000,8,
,,,,-1,6900000,0,
,,,,-1,6900000,0,
,,,,-1,6900000,0,0
,,,,-1,6900000,-8,
,,,,-1,6900000,0,0
,,,,-1,6800000,-8,0
,,,,-1,6800000,-8,0
,,,,-1,6800000,-8,
,,,,-1,6800000,-16.000.000,
,,,,-1,6800000,-16.000.000,
,,,,-1,6700000,-16.000.000,
,,,,-1,6700000,-24.000.001,
,,,,-1,6700000,-16.000.000,
,,,,-1,6700000,-24.000.001,
,,,,-1,6700000,-24.000.001,
,,,,-1,6600000,-24.000.001,
,,,,-1,6600000,-24.000.001,
,,,,-1,6600000,-24.000.001,
,,,,-1,6600000,-24.000.001,
,,,,-1,6600000,-320.000.005,
,,,,-1,6500000,-320.000.005,
,,,,-1,6500000,-400.000.000,
,,,,-1,6500000,-400.000.000,
,,,,-1,6500000,-400.000.000,
,,,,-1,6500000,-400.000.000,
,,,,-1,6400000,-400.000.000,
,,,,-1,6400000,-480.000.019,
,,,,-1,6400000,-480.000.019,
,,,,-1,6400000,-480.000.019,
,,,,-1,6400000,-559.999.990,
,,,,-1,6300000,-480.000.019,
,,,,-1,6300000,-480.000.019,
,,,,-1,6300000,-559.999.990,
,,,,-1,6300000,-559.999.990,
,,,,-1,6300000,-640.000.010,
,,,,-1,6200000,-640.000.010,
,,,,-1,6200000,-640.000.010,
,,,,-1,6200000,-640.000.010,
,,,,-1,6200000,-640.000.010,
,,,,-1,6200000,-640.000.010,
,,,,-1,6100000,-720.000.029,
,,,,-1,6100000,-640.000.010,
,,,,-1,6100000,-720.000.029,
,,,,-1,6100000,-720.000.029,
,,,,-1,6100000,-720.000.029,
,,,,-1,6000000,-720.000.029,
,,,,-1,6000000,-8.000.000.000,
,,,,-1,6000000,-8.000.000.000,
,,,,-1,6000000,-8.000.000.000,
,,,,-1,6000000,-8.800.000.191,
,,,,-1,5900000,-8.800.000.191,
,,,,-1,5900000,-8.000.000.000,
,,,,-1,5900000,-8.800.000.191,
,,,,-1,5900000,-9.600.000.381,
,,,,-1,5900000,-9.600.000.381,
,,,,-1,5800000,-9.600.000.381,
,,,,-1,5800000,-9.600.000.381,
,,,,-1,5800000,-104.000.006,
,,,,-1,5800000,-9.600.000.381,
,,,,-1,5800000,-9.600.000.381,
,,,,-1,5700000,-104.000.006,
,,,,-1,5700000,-111.999.998,
,,,,-1,5700000,-104.000.006,
,,,,-1,5700000,-111.999.998,
,,,,-1,5700000,-111.999.998,
,,,,-1,5600000,-111.999.998,
,,,,-1,5600000,-120.000.000,
,,,,-1,5600000,-111.999.998,
,,,,-1,5600000,-120.000.000,
,,,,-1,5600000,-111.999.998,
,,,,-1,5500000,-111.999.998,
,,,,-1,5500000,-128.000.002,
,,,,-1,5500000,-120.000.000,
,,,,-1,5500000,-128.000.002,
,,,,-1,5500000,-128.000.002,
,,,,-1,5400000,-128.000.002,
,,,,-1,5400000,-136.000.004,
,,,,-1,5400000,-136.000.004,
,,,,-1,5400000,-136.000.004,
,,,,-1,5400000,-136.000.004,
,,,,-1,5300000,-136.000.004,
,,,,-1,5300000,-136.000.004,
,,,,-1,5300000,-136.000.004,
,,,,-1,5300000,-144.000.006,
,,,,-1,5300000,-144.000.006,
,,,,-1,5200000,-144.000.006,
,,,,-1,5200000,-151.999.998,
