Record Length,2500,Points,Tiempo,Voltaje
Sample Interval,1.99999995E-05,s,-0.02329999954,-2.4400001
Trigger Point,1165.0001,Samples,-0.02328000031,-2.6399999
,,,-0.02325999923,-2.3199999
,,,-0.02324000001,-2.52
,,,-0.02321999893,-2.3999999
Source,CH1,,-0.0231999997,-2.3199999
Vertical Units,Volts,,-0.02317999862,-2.5999999
Vertical Scale,0.999999977648,,-0.0231599994,-2.2
Vertical Offset,0,,-0.02314000018,-2.6399999
Horizontal Units,s,,-0.0231199991,-2.5999999
Horizontal Scale,0.00499999987,,-0.02309999987,-2.3599999
Pt Fmt,Y,,-0.02307999879,-2.6399999
Yzero,0.16,,-0.02305999957,-2.3199999
Probe Atten,10,,-0.02304000035,-2.3999999
,,,-0.02301999927,-2.6799998
Note, - 5:32:16 p. m.   11/03/2021,,-0.02300000004,-2.28
,,,-0.02297999896,-2.5999999
,,,-0.02295999974,-2.48
,,,-0.02293999866,-2.3999999
,,,-0.02291999944,-2.5999999
,,,-0.02290000021,-2.3199999
,,,-0.02287999913,-2.3999999
,,,-0.02285999991,-2.5599999
,,,-0.02283999883,-2.3199999
,,,-0.02281999961,-2.5599999
,,,-0.02280000038,-2.48
,,,-0.0227799993,-2.4400001
,,,-0.02276000008,-2.6799998
,,,-0.022739999,-2.2
,,,-0.02271999978,-2.3599999
,,,-0.02269999869,-2.4400001
,,,-0.02267999947,-2.1599998
,,,-0.02266000025,-2.5999999
,,,-0.02263999917,-2.1199999
,,,-0.02261999995,-2.28
,,,-0.02259999886,-2.6399999
,,,-0.02257999964,-2.3199999
,,,-0.02256000042,-2.48
,,,-0.02253999934,-2.4400001
,,,-0.02252000012,-2.1599998
,,,-0.02249999903,-2.6799998
,,,-0.02247999981,-2.24
,,,-0.02245999873,-2.3999999
,,,-0.02243999951,-2.5599999
,,,-0.02242000028,-2.1599998
,,,-0.0223999992,-2.6399999
,,,-0.02237999998,-2.3599999
,,,-0.0223599989,-2.28
,,,-0.02233999968,-2.52
,,,-0.02232000045,-2.1599998
,,,-0.02229999937,-2.48
,,,-0.02228000015,-2.3199999
,,,-0.02225999907,-2.04
,,,-0.02223999985,-2.5599999
,,,-0.02221999876,-1.9599999
,,,-0.02219999954,-2.3199999
,,,-0.02218000032,-2.3199999
,,,-0.02215999924,-2.04
,,,-0.02214000002,-2.72000003
,,,-0.02211999893,-2.0799999
,,,-0.02209999971,-2.1199999
,,,-0.02208000049,-2.48
,,,-0.02205999941,-1.8
,,,-0.02204000019,-2.4400001
,,,-0.0220199991,-2.2
,,,-0.02199999988,-2.0799999
,,,-0.0219799988,-2.72000003
,,,-0.02195999958,-2
,,,-0.02194000036,-2.3199999
,,,-0.02191999927,-2.3599999
,,,-0.02190000005,-1.8
,,,-0.02187999897,-2.6399999
,,,-0.02185999975,-2.04
,,,-0.02183999866,-2.1599998
,,,-0.02181999944,-2.96000004
,,,-0.02180000022,-2
,,,-0.02177999914,-2.48
,,,-0.02175999992,-2.3999999
,,,-0.02173999883,-1.8399999
,,,-0.02171999961,-2.5599999
,,,-0.02170000039,-1.9599999
,,,-0.02167999931,-2.04
,,,-0.02166000009,-2.52
,,,-0.021639999,-1.8
,,,-0.02161999978,-2.52
,,,-0.0215999987,-2.24
,,,-0.02157999948,-1.9599999
,,,-0.02156000026,-2.5999999
,,,-0.02153999917,-1.8399999
,,,-0.02151999995,-2.2
,,,-0.02149999887,-2.3599999
,,,-0.02147999965,-1.76
,,,-0.02146000043,-2.5599999
,,,-0.02143999934,-1.9599999
,,,-0.02142000012,-2.0799999
,,,-0.02139999904,-2.5599999
,,,-0.02137999982,-1.5999999
,,,-0.02135999873,-2.4400001
,,,-0.02133999951,-2.2
,,,-0.02132000029,-1.76
,,,-0.02129999921,-2.6799998
,,,-0.02127999999,-1.6799999
,,,-0.0212599989,-2.24
,,,-0.02123999968,-2.4400001
,,,-0.02122000046,-1.64
,,,-0.02119999938,-2.5599999
,,,-0.02118000016,-1.8399999
,,,-0.02115999907,-1.8
,,,-0.02113999985,-2.48
,,,-0.02111999877,-1.5599999
,,,-0.02109999955,-2.28
,,,-0.02108000033,-2
,,,-0.02105999924,-1.6799999
,,,-0.02104000002,-2.5599999
,,,-0.02101999894,-1.6799999
,,,-0.02099999972,-2.1599998
,,,-0.0209800005,-2.24
,,,-0.02095999941,-1.64
,,,-0.02094000019,-2.3599999
,,,-0.02091999911,-1.76
,,,-0.02089999989,-2
,,,-0.0208799988,-2.2
,,,-0.02085999958,-1.5599999
,,,-0.02084000036,-2.3599999
,,,-0.02081999928,-2.04
,,,-0.02080000006,-1.6799999
,,,-0.02077999897,-2.48
,,,-0.02075999975,-1.6799999
,,,-0.02073999867,-2.1199999
,,,-0.02071999945,-2.3199999
,,,-0.02070000023,-1.5999999
,,,-0.02067999914,-2.3999999
,,,-0.02065999992,-1.76
,,,-0.02063999884,-1.92
,,,-0.02061999962,-2.3199999
,,,-0.0206000004,-1.64
,,,-0.02057999931,-2.1599998
,,,-0.02056000009,-1.9599999
,,,-0.02053999901,-1.64
,,,-0.02051999979,-2.3199999
,,,-0.0204999987,-1.64
,,,-0.02047999948,-1.88
,,,-0.02046000026,-2.2
,,,-0.02043999918,-1.5599999
,,,-0.02041999996,-2.1199999
,,,-0.02039999887,-1.9599999
,,,-0.02037999965,-1.8399999
,,,-0.02036000043,-2.2
,,,-0.02033999935,-1.52
,,,-0.02032000013,-2.0799999
,,,-0.02029999904,-1.92
,,,-0.02027999982,-1.64
,,,-0.02025999874,-2.2
,,,-0.02023999952,-1.64
,,,-0.0202200003,-2.04
,,,-0.02019999921,-2.0799999
,,,-0.02017999999,-1.5599999
,,,-0.02015999891,-2.2
,,,-0.02013999969,-1.6799999
,,,-0.02012000047,-1.76
,,,-0.02009999938,-1.8
,,,-0.0200800002,-1.7199999
,,,-0.0200599991,-1.8
,,,-0.0200399999,-1.76
,,,-0.0200199988,-1.7199999
,,,-0.0199999996,-1.8399999
,,,-0.0199800003,-1.8
,,,-0.0199599992,-1.76
,,,-0.01994,-1.8
,,,-0.0199199989,-1.76
,,,-0.0198999997,-1.8
,,,-0.0198800005,-1.8399999
,,,-0.0198599994,-1.8
,,,-0.0198400002,-1.88
,,,-0.0198199991,-1.76
,,,-0.0197999999,-1.76
,,,-0.0197799988,-2.04
,,,-0.0197599996,-1.7199999
,,,-0.0197400004,-1.7199999
,,,-0.0197199993,-1.8
,,,-0.0197000001,-1.76
,,,-0.019679999,-1.76
,,,-0.0196599998,-1.76
,,,-0.0196400005,-1.8
,,,-0.0196199995,-1.76
,,,-0.0196000002,-1.7199999
,,,-0.0195799991,-1.7199999
,,,-0.0195599999,-1.7199999
,,,-0.0195399988,-1.76
,,,-0.0195199996,-1.64
,,,-0.0195000004,-1.7199999
,,,-0.0194799993,-1.7199999
,,,-0.0194600001,-1.6799999
,,,-0.019439999,-1.64
,,,-0.0194199998,-1.64
,,,-0.0193999987,-1.7199999
,,,-0.0193799995,-1.64
