Record Length,2500,Points,Tiempo,Voltaje
,,,-0.0010190001,78
,,,-0.0010180001,76
,,,-0.0010170001,74
,,,-0.0010160001,72
,,,-0.001015,70
,,,-0.001014,68
,,,-0.0010130001,66
,,,-0.0010120001,66
,,,-0.0010110001,62
,,,-0.0010100001,60
,,,-0.0010090001,58
,,,-0.0010080001,56
,,,-0.0010070001,54
,,,-0.0010060001,52
,,,-0.0010050001,50
,,,-0.0010040001,48
,,,-0.0010030001,46
,,,-0.0010020001,42
,,,-0.0010010001,40
,,,-0.001,38
,,,-0.000999000039883,36
,,,-0.000998000032268,34
,,,-0.000997000141069,32
,,,-0.000996000133455,30
,,,-0.00099500012584,28
,,,-0.000994000118226,26
,,,-0.000993000110611,24
,,,-0.000992000102997,22
,,,-0.000991000095382,20
,,,-0.000990000087768,16
,,,-0.000989000080153,14
,,,-0.000988000072539,12
,,,-0.000987000064924,10
,,,-0.00098600005731,8
,,,-0.000985000049695,6
,,,-0.000984000042081,2
,,,-0.000983000034466,0
,,,-0.000982000143267,-2
,,,-0.000981000135653,-4
,,,-0.000980000128038,-8
,,,-0.000979000120424,-8
,,,-0.000978000112809,-10
,,,-0.000977000105195,-12
,,,-0.00097600009758,-14
,,,-0.000975000089966,-18
,,,-0.000974000082351,-20
,,,-0.000973000074737,-22
,,,-0.000972000067122,-26
,,,-0.000971000117715,-28
,,,-0.000970000110101,-30
,,,-0.000969000102486,-32
,,,-0.000968000094872,-36
,,,-0.000967000087257,-38
,,,-0.000966000079643,-38
,,,-0.000965000072028,-42
,,,-0.000964000064414,-46
,,,-0.000963000115007,-48
,,,-0.000962000107393,-50
,,,-0.000961000099778,-52
,,,-0.000960000092164,-56
,,,-0.000959000084549,-58
,,,-0.000958000076935,-60
,,,-0.00095700006932,-62
,,,-0.000956000061706,-66
,,,-0.000955000112299,-68
,,,-0.000954000104684,-70
,,,-0.00095300009707,-72
,,,-0.000952000089455,-74
,,,-0.000951000081841,-78
,,,-0.000950000074226,-80
,,,-0.000949000066612,-82
,,,-0.000948000117205,-86
,,,-0.000947000109591,-88
,,,-0.000946000101976,-90
,,,-0.000945000094362,-92
,,,-0.000944000086747,-96
,,,-0.000943000079133,-98
,,,-0.000942000071518,-100
,,,-0.000941000063904,-102
,,,-0.000940000114497,-106
,,,-0.000939000106882,-108
,,,-0.000938000099268,-110
,,,-0.000937000091653,-112
,,,-0.000936000084039,-114
,,,-0.000935000076424,-116
,,,-0.00093400006881,-118
,,,-0.000933000061195,-120
,,,-0.000932000111789,-124
,,,-0.000931000104174,-124
,,,-0.00093000009656,-128
,,,-0.000929000088945,-128
,,,-0.000928000081331,-130
,,,-0.000927000073716,-130
,,,-0.000926000066102,-130
,,,-0.000925000116695,-132
,,,-0.00092400010908,-132
,,,-0.000923000101466,-132
,,,-0.000922000093851,-134
,,,-0.000921000086237,-134
,,,-0.000920000078622,-134
,,,-0.000919000071008,-134
,,,-0.000918000063393,-134
,,,-0.000917000113986,-132
,,,-0.000916000106372,-134
,,,-0.000915000098757,-134
,,,-0.000914000091143,-134
,,,-0.000913000083528,-134
,,,-0.000912000075914,-134
,,,-0.000911000068299,-132
,,,-0.000910000060685,-132
,,,-0.000909000111278,-132
,,,-0.000908000103664,-132
,,,-0.000907000096049,-130
,,,-0.000906000088435,-132
,,,-0.00090500008082,-130
,,,-0.000904000073206,-130
,,,-0.000903000065591,-130
,,,-0.000902000116184,-128
,,,-0.00090100010857,-126
,,,-0.000900000100955,-128
,,,-0.000899000093341,-126
,,,-0.000898000085726,-126
,,,-0.000897000078112,-122
,,,-0.000896000070497,-124
,,,-0.000895000062883,-122
,,,-0.000894000113476,-122
,,,-0.000893000105862,-120
,,,-0.000892000098247,-118
,,,-0.000891000090633,-116
,,,-0.000890000083018,-114
,,,-0.000889000075404,-112
,,,-0.000888000067789,-110
,,,-0.000887000118382,-110
,,,-0.000886000110768,-108
,,,-0.000885000103153,-106
,,,-0.000884000095539,-104
,,,-0.000883000087924,-102
,,,-0.00088200008031,-98
,,,-0.000881000072695,-96
,,,-0.000880000065081,-94
,,,-0.000879000115674,-92
,,,-0.000878000108059,-90
,,,-0.000877000100445,-88
,,,-0.000876000092831,-84
,,,-0.000875000085216,-82
,,,-0.000874000077602,-80
,,,-0.000873000069987,-76
,,,-0.000872000062373,-74
,,,-0.000871000112966,-70
,,,-0.000870000105351,-68
,,,-0.000869000097737,-68
,,,-0.000868000090122,-64
,,,-0.000867000082508,-62
,,,-0.000866000074893,-58
,,,-0.000865000067279,-56
,,,-0.000864000117872,-54
,,,-0.000863000110257,-52
,,,-0.000862000102643,-48
,,,-0.000861000095028,-46
,,,-0.000860000087414,-42
,,,-0.000859000079799,-40
,,,-0.000858000072185,-36
,,,-0.00085700006457,-34
,,,-0.000856000115164,-32
,,,-0.000855000107549,-28
,,,-0.000854000099935,-28
,,,-0.00085300009232,-24
,,,-0.000852000084706,-22
,,,-0.000851000077091,-18
,,,-0.000850000069477,-18
,,,-0.000849000061862,-14
,,,-0.000848000112455,-12
,,,-0.000847000104841,-8
,,,-0.000846000097226,-6
,,,-0.000845000089612,-4
,,,-0.000844000081997,-2
,,,-0.000843000074383,2
,,,-0.000842000066768,6
,,,-0.000841000117362,8
,,,-0.000840000109747,10
,,,-0.000839000102133,10
,,,-0.000838000094518,14
,,,-0.000837000086904,16
,,,-0.000836000079289,18
,,,-0.000835000071675,22
,,,-0.00083400006406,24
,,,-0.000833000114653,26
,,,-0.000832000107039,30
,,,-0.000831000099424,32
,,,-0.00083000009181,36
,,,-0.000829000084195,40
,,,-0.000828000076581,40
,,,-0.000827000068966,46
,,,-0.000826000061352,46
,,,-0.000825000111945,50
,,,-0.00082400010433,52
,,,-0.000823000096716,56
,,,-0.000822000089101,58
,,,-0.000821000081487,60
,,,-0.000820000073873,64
,,,-0.000819000066258,66
,,,-0.000818000116851,68
,,,-0.000817000109237,70
,,,-0.000816000101622,74
,,,-0.000815000094008,78
,,,-0.000814000086393,80
,,,-0.000813000078779,84
,,,-0.000812000071164,86
,,,-0.00081100006355,90
,,,-0.000810000114143,92
,,,-0.000809000106528,94
,,,-0.000808000098914,98
,,,-0.000807000091299,100
,,,-0.000806000083685,104
,,,-0.00080500007607,106
,,,-0.000804000068456,108
,,,-0.000803000060841,110
,,,-0.000802000111435,112
,,,-0.00080100010382,112
,,,-0.000800000096206,112
,,,-0.000799000088591,114
,,,-0.000798000080977,114
,,,-0.000797000073362,114
,,,-0.000796000065748,116
,,,-0.000795000116341,116
,,,-0.000794000108726,116
,,,-0.000793000101112,116
,,,-0.000792000093497,118
,,,-0.000791000085883,118
,,,-0.000790000078268,118
,,,-0.000789000070654,118
,,,-0.000788000063039,118
,,,-0.000787000113633,118
,,,-0.000786000106018,118
,,,-0.000785000098404,118
,,,-0.000784000090789,118
,,,-0.000783000083175,118
,,,-0.00078200007556,118
,,,-0.000781000067946,116
,,,-0.000780000118539,118
,,,-0.000779000110924,116
,,,-0.00077800010331,116
,,,-0.000777000095695,116
,,,-0.000776000088081,116
,,,-0.000775000080466,114
,,,-0.000774000072852,114
,,,-0.000773000065237,114
,,,-0.00077200011583,114
,,,-0.000771000108216,112
,,,-0.000770000100601,112
,,,-0.000769000092987,112
,,,-0.000768000085372,112
,,,-0.000767000077758,110
,,,-0.000766000070143,110
,,,-0.000765000062529,110
,,,-0.000764000113122,108
,,,-0.000763000105508,108
,,,-0.000762000097893,108
,,,-0.000761000090279,106
,,,-0.000760000082664,106
,,,-0.00075900007505,104
,,,-0.000758000067435,104
,,,-0.000757000118028,104
,,,-0.000756000110414,104
,,,-0.000755000102799,102
,,,-0.000754000095185,102
,,,-0.00075300008757,100
,,,-0.000752000079956,100
,,,-0.000751000072341,98
,,,-0.000750000064727,98
,,,-0.00074900011532,96
,,,-0.000748000107706,94
,,,-0.000747000100091,94
,,,-0.000746000092477,92
,,,-0.000745000084862,90
,,,-0.000744000077248,88
,,,-0.000743000069633,88
,,,-0.000742000062019,84
,,,-0.000741000112612,84
,,,-0.000740000104997,80
,,,-0.000739000097383,80
,,,-0.000738000089768,78
,,,-0.000737000082154,74
,,,-0.000736000074539,72
,,,-0.000735000066925,72
,,,-0.000734000117518,70
,,,-0.000733000109904,68
,,,-0.000732000102289,66
,,,-0.000731000094675,62
,,,-0.00073000008706,60
,,,-0.000729000079446,58
,,,-0.000728000071831,58
,,,-0.000727000064217,54
,,,-0.00072600011481,52
,,,-0.000725000107195,50
,,,-0.000724000099581,48
,,,-0.000723000091966,46
,,,-0.000722000084352,44
,,,-0.000721000076737,42
,,,-0.000720000069123,38
,,,-0.000719000061508,36
,,,-0.000718000112101,34
,,,-0.000717000104487,32
,,,-0.000716000096872,30
,,,-0.000715000089258,28
,,,-0.000714000081643,26
,,,-0.000713000074029,24
,,,-0.000712000066414,20
,,,-0.000711000117008,18
,,,-0.000710000109393,16
,,,-0.000709000101779,14
,,,-0.000708000094164,12
,,,-0.00070700008655,10
,,,-0.000706000078935,8
,,,-0.000705000071321,6
,,,-0.000704000063706,4
,,,-0.000703000114299,0
,,,-0.000702000106685,-2
,,,-0.00070100009907,-4
,,,-0.000700000091456,-6
,,,-0.000699000083841,-8
,,,-0.000698000076227,-10
,,,-0.000697000068612,-12
,,,-0.000696000060998,-14
,,,-0.000695000111591,-16
,,,-0.000694000103977,-20
,,,-0.000693000096362,-22
,,,-0.000692000088748,-24
,,,-0.000691000081133,-28
,,,-0.000690000073519,-30
,,,-0.000689000065904,-32
,,,-0.000688000116497,-34
,,,-0.000687000108883,-38
,,,-0.000686000101268,-38
,,,-0.000685000093654,-44
,,,-0.000684000086039,-46
,,,-0.000683000078425,-48
,,,-0.00068200007081,-50
,,,-0.000681000063196,-52
,,,-0.000680000113789,-54
,,,-0.000679000106174,-58
,,,-0.00067800009856,-60
,,,-0.000677000090946,-62
,,,-0.000676000083331,-64
,,,-0.000675000075717,-68
,,,-0.000674000068102,-70
,,,-0.000673000118695,-72
,,,-0.000672000111081,-74
,,,-0.000671000103466,-76
,,,-0.000670000095852,-80
,,,-0.000669000088237,-82
,,,-0.000668000080623,-84
,,,-0.000667000073008,-88
,,,-0.000666000065394,-90
,,,-0.000665000115987,-92
,,,-0.000664000108372,-96
,,,-0.000663000100758,-96
,,,-0.000662000093143,-100
,,,-0.000661000085529,-102
,,,-0.000660000077914,-106
,,,-0.0006590000703,-108
,,,-0.000658000062685,-110
,,,-0.000657000113279,-112
,,,-0.000656000105664,-112
,,,-0.00065500009805,-116
,,,-0.000654000090435,-118
,,,-0.000653000082821,-120
,,,-0.000652000075206,-122
,,,-0.000651000067592,-124
,,,-0.000650000118185,-126
,,,-0.00064900011057,-128
,,,-0.000648000102956,-130
,,,-0.000647000095341,-130
,,,-0.000646000087727,-132
,,,-0.000645000080112,-132
,,,-0.000644000072498,-132
,,,-0.000643000064883,-132
,,,-0.000642000115477,-132
,,,-0.000641000107862,-132
,,,-0.000640000100248,-132
,,,-0.000639000092633,-134
,,,-0.000638000085019,-134
