Record Length,2500,Points,Tiempo,Voltaje
Sample Interval,1E-06,s,-0.0012500001,-28
Trigger Point,1250.0002,Samples,-0.0012490001,-30
,,,-0.0012480001,-32
,,,-0.0012470001,-34
,,,-0.0012460001,-38
Source,CH1,,-0.0012450001,-38
Vertical Units,Volts,,-0.001244,-42
Vertical Scale,50,,-0.001243,-42
Vertical Offset,0,,-0.0012420001,-46
Horizontal Units,s,,-0.0012410001,-48
Horizontal Scale,0.00024999999937,,-0.0012400001,-50
Pt Fmt,Y,,-0.0012390001,-52
Yzero,0.16,,-0.0012380001,-54
Probe Atten,10,,-0.0012370001,-56
,,,-0.0012360001,-60
Note, - 6:33:24 p. m.   11/03/2021,,-0.0012350001,-60
,,,-0.0012340001,-62
,,,-0.0012330001,-66
,,,-0.0012320001,-68
,,,-0.0012310001,-72
,,,-0.0012300001,-74
,,,-0.001229,-76
,,,-0.001228,-78
,,,-0.0012270001,-80
,,,-0.0012260001,-82
,,,-0.0012250001,-86
,,,-0.0012240001,-86
,,,-0.0012230001,-90
,,,-0.0012220001,-92
,,,-0.0012210001,-94
,,,-0.0012200001,-96
,,,-0.0012190001,-98
,,,-0.0012180001,-100
,,,-0.0012170001,-102
,,,-0.0012160001,-104
,,,-0.0012150001,-106
,,,-0.001214,-108
,,,-0.001213,-110
,,,-0.001212,-112
,,,-0.0012110001,-114
,,,-0.0012100001,-116
,,,-0.0012090001,-118
,,,-0.0012080001,-120
,,,-0.0012070001,-122
,,,-0.0012060001,-122
,,,-0.0012050001,-124
,,,-0.0012040001,-126
,,,-0.0012030001,-126
,,,-0.0012020001,-128
,,,-0.0012010001,-128
,,,-0.0012000001,-128
,,,-0.001199,-128
,,,-0.001198,-128
,,,-0.001197,-128
,,,-0.0011960001,-128
,,,-0.0011950001,-128
,,,-0.0011940001,-128
,,,-0.0011930001,-128
,,,-0.0011920001,-128
,,,-0.0011910001,-126
,,,-0.0011900001,-128
,,,-0.0011890001,-126
,,,-0.0011880001,-126
,,,-0.0011870001,-124
,,,-0.0011860001,-124
,,,-0.0011850001,-122
,,,-0.0011840001,-120
,,,-0.001183,-120
,,,-0.001182,-120
,,,-0.0011810001,-118
,,,-0.0011800001,-118
,,,-0.0011790001,-116
,,,-0.0011780001,-116
,,,-0.0011770001,-114
,,,-0.0011760001,-114
,,,-0.0011750001,-112
,,,-0.0011740001,-112
,,,-0.0011730001,-108
,,,-0.0011720001,-106
,,,-0.0011710001,-106
,,,-0.0011700001,-104
,,,-0.0011690001,-104
,,,-0.001168,-100
,,,-0.001167,-100
,,,-0.001166,-98
,,,-0.0011650001,-96
,,,-0.0011640001,-94
,,,-0.0011630001,-92
,,,-0.0011620001,-90
,,,-0.0011610001,-88
,,,-0.0011600001,-86
,,,-0.0011590001,-84
,,,-0.0011580001,-80
,,,-0.0011570001,-78
,,,-0.0011560001,-76
,,,-0.0011550001,-74
,,,-0.0011540001,-72
,,,-0.001153,-70
,,,-0.001152,-68
,,,-0.001151,-64
,,,-0.0011500001,-62
,,,-0.0011490001,-60
,,,-0.0011480001,-58
,,,-0.0011470001,-56
,,,-0.0011460001,-52
,,,-0.0011450001,-50
,,,-0.0011440001,-48
,,,-0.0011430001,-44
,,,-0.0011420001,-42
,,,-0.0011410001,-40
,,,-0.0011400001,-38
,,,-0.0011390001,-36
,,,-0.0011380001,-34
,,,-0.001137,-30
,,,-0.001136,-28
,,,-0.0011350001,-26
,,,-0.0011340001,-24
,,,-0.0011330001,-22
,,,-0.0011320001,-18
,,,-0.0011310001,-16
,,,-0.0011300001,-14
,,,-0.0011290001,-10
,,,-0.0011280001,-8
,,,-0.0011270001,-6
,,,-0.0011260001,-4
,,,-0.0011250001,-2
,,,-0.0011240001,2
,,,-0.0011230001,2
,,,-0.001122,6
,,,-0.001121,8
,,,-0.0011200001,10
,,,-0.0011190001,12
,,,-0.0011180001,16
,,,-0.0011170001,18
,,,-0.0011160001,20
,,,-0.0011150001,22
,,,-0.0011140001,26
,,,-0.0011130001,26
,,,-0.0011120001,30
,,,-0.0011110001,32
,,,-0.0011100001,34
,,,-0.0011090001,38
,,,-0.0011080001,40
,,,-0.001107,42
,,,-0.001106,46
,,,-0.001105,48
,,,-0.0011040001,50
,,,-0.0011030001,52
,,,-0.0011020001,54
,,,-0.0011010001,56
,,,-0.0011000001,60
,,,-0.0010990001,62
,,,-0.0010980001,66
,,,-0.0010970001,68
,,,-0.0010960001,72
,,,-0.0010950001,74
,,,-0.0010940001,76
,,,-0.0010930001,78
,,,-0.001092,80
,,,-0.001091,84
,,,-0.00109,86
,,,-0.0010890001,88
,,,-0.0010880001,92
,,,-0.0010870001,96
,,,-0.0010860001,98
,,,-0.0010850001,100
,,,-0.0010840001,102
,,,-0.0010830001,104
,,,-0.0010820001,106
,,,-0.0010810001,110
,,,-0.0010800001,112
,,,-0.0010790001,112
,,,-0.0010780001,116
,,,-0.0010770001,118
,,,-0.001076,120
,,,-0.001075,120
,,,-0.0010740001,120
,,,-0.0010730001,122
,,,-0.0010720001,122
,,,-0.0010710001,122
,,,-0.0010700001,124
,,,-0.0010690001,124
,,,-0.0010680001,124
,,,-0.0010670001,124
,,,-0.0010660001,124
,,,-0.0010650001,124
,,,-0.0010640001,124
,,,-0.0010630001,124
,,,-0.0010620001,124
,,,-0.001061,122
,,,-0.00106,122
,,,-0.001059,122
,,,-0.0010580001,120
,,,-0.0010570001,120
,,,-0.0010560001,120
,,,-0.0010550001,118
,,,-0.0010540001,118
,,,-0.0010530001,116
,,,-0.0010520001,116
,,,-0.0010510001,114
,,,-0.0010500001,112
,,,-0.0010490001,112
,,,-0.0010480001,112
,,,-0.0010470001,110
,,,-0.001046,110
,,,-0.001045,108
,,,-0.001044,106
,,,-0.0010430001,104
,,,-0.0010420001,104
,,,-0.0010410001,102
,,,-0.0010400001,100
,,,-0.0010390001,100
,,,-0.0010380001,100
,,,-0.0010370001,98
,,,-0.0010360001,96
,,,-0.0010350001,96
,,,-0.0010340001,94
,,,-0.0010330001,92
,,,-0.0010320001,90
,,,-0.0010310001,90
,,,-0.00103,88
,,,-0.001029,88
,,,-0.0010280001,86
,,,-0.0010270001,84
,,,-0.0010260001,82
,,,-0.0010250001,80
,,,-0.0010240001,80
,,,-0.0010230001,76
,,,-0.0010220001,76
,,,-0.0010210001,74
,,,-0.0010200001,74
,,,-0.0010190001,70
,,,-0.0010180001,68
,,,-0.0010170001,68
,,,-0.0010160001,66
,,,-0.001015,64
,,,-0.001014,62
,,,-0.0010130001,60
,,,-0.0010120001,58
,,,-0.0010110001,56
,,,-0.0010100001,54
,,,-0.0010090001,52
,,,-0.0010080001,50
,,,-0.0010070001,48
,,,-0.0010060001,48
,,,-0.0010050001,44
,,,-0.0010040001,42
,,,-0.0010030001,40
,,,-0.0010020001,38
,,,-0.0010010001,36
,,,-0.001,34
,,,-0.000999000039883,32
,,,-0.000998000032268,30
,,,-0.000997000141069,28
,,,-0.000996000133455,26
,,,-0.00099500012584,24
,,,-0.000994000118226,22
,,,-0.000993000110611,18
,,,-0.000992000102997,16
,,,-0.000991000095382,16
,,,-0.000990000087768,14
,,,-0.000989000080153,10
,,,-0.000988000072539,10
,,,-0.000987000064924,6
,,,-0.00098600005731,6
,,,-0.000985000049695,2
,,,-0.000984000042081,2
,,,-0.000983000034466,0
,,,-0.000982000143267,-2
,,,-0.000981000135653,-4
,,,-0.000980000128038,-8
,,,-0.000979000120424,-10
,,,-0.000978000112809,-10
,,,-0.000977000105195,-14
,,,-0.00097600009758,-16
,,,-0.000975000089966,-18
,,,-0.000974000082351,-20
,,,-0.000973000074737,-22
,,,-0.000972000067122,-24
,,,-0.000971000117715,-26
,,,-0.000970000110101,-28
,,,-0.000969000102486,-32
,,,-0.000968000094872,-34
,,,-0.000967000087257,-36
,,,-0.000966000079643,-38
,,,-0.000965000072028,-40
,,,-0.000964000064414,-40
,,,-0.000963000115007,-44
,,,-0.000962000107393,-46
,,,-0.000961000099778,-48
,,,-0.000960000092164,-50
,,,-0.000959000084549,-54
,,,-0.000958000076935,-56
,,,-0.00095700006932,-58
,,,-0.000956000061706,-60
,,,-0.000955000112299,-62
,,,-0.000954000104684,-64
,,,-0.00095300009707,-66
,,,-0.000952000089455,-70
,,,-0.000951000081841,-72
,,,-0.000950000074226,-74
,,,-0.000949000066612,-76
,,,-0.000948000117205,-80
,,,-0.000947000109591,-80
,,,-0.000946000101976,-84
,,,-0.000945000094362,-86
,,,-0.000944000086747,-88
,,,-0.000943000079133,-90
