Record Length,2500,Points,Tiempo1,Voltaje1,,,,,Tiempo2,Voltaje2
Sample Interval,1E-06,s,-0.0012500001,-78,,Record Length,2500,Points,-0.0012500001,-126
Trigger Point,1250.0002,Samples,-0.0012490001,-76,,Sample Interval,1E-06,s,-0.0012490001,-126
,,,-0.0012480001,-74,,Trigger Point,1250.0002,Samples,-0.0012480001,-126
,,,-0.0012470001,-72,,,,,-0.0012470001,-124
,,,-0.0012460001,-70,,,,,-0.0012460001,-124
Source,CH1,,-0.0012450001,-68,,,,,-0.0012450001,-124
Vertical Units,Volts,,-0.001244,-68,,Source,CH2,,-0.001244,-122
Vertical Scale,50,,-0.001243,-66,,Vertical Units,Volts,,-0.001243,-122
Vertical Offset,0,,-0.0012420001,-64,,Vertical Scale,50,,-0.0012420001,-120
Horizontal Units,s,,-0.0012410001,-62,,Vertical Offset,0,,-0.0012410001,-118
Horizontal Scale,0.00024999999937,,-0.0012400001,-60,,Horizontal Units,s,,-0.0012400001,-116
Pt Fmt,Y,,-0.0012390001,-58,,Horizontal Scale,0.00024999999937,,-0.0012390001,-114
Yzero,0.16,,-0.0012380001,-58,,Pt Fmt,Y,,-0.0012380001,-112
Probe Atten,10,,-0.0012370001,-56,,Yzero,0.08,,-0.0012370001,-112
,,,-0.0012360001,-56,,Probe Atten,10,,-0.0012360001,-110
Note, - 6:45:25 p. m.   11/03/2021,,-0.0012350001,-52,,,,,-0.0012350001,-108
,,,-0.0012340001,-52,,Note, - 6:45:25 p. m.   11/03/2021,,-0.0012340001,-106
,,,-0.0012330001,-50,,,,,-0.0012330001,-104
,,,-0.0012320001,-46,,,,,-0.0012320001,-102
,,,-0.0012310001,-44,,,,,-0.0012310001,-100
,,,-0.0012300001,-44,,,,,-0.0012300001,-96
,,,-0.001229,-42,,,,,-0.001229,-96
,,,-0.001228,-40,,,,,-0.001228,-94
,,,-0.0012270001,-38,,,,,-0.0012270001,-90
,,,-0.0012260001,-38,,,,,-0.0012260001,-90
,,,-0.0012250001,-36,,,,,-0.0012250001,-88
,,,-0.0012240001,-34,,,,,-0.0012240001,-84
,,,-0.0012230001,-32,,,,,-0.0012230001,-80
,,,-0.0012220001,-30,,,,,-0.0012220001,-80
,,,-0.0012210001,-28,,,,,-0.0012210001,-76
,,,-0.0012200001,-28,,,,,-0.0012200001,-74
,,,-0.0012190001,-24,,,,,-0.0012190001,-72
,,,-0.0012180001,-22,,,,,-0.0012180001,-70
,,,-0.0012170001,-22,,,,,-0.0012170001,-68
,,,-0.0012160001,-18,,,,,-0.0012160001,-66
,,,-0.0012150001,-16,,,,,-0.0012150001,-64
,,,-0.001214,-16,,,,,-0.001214,-60
,,,-0.001213,-14,,,,,-0.001213,-58
,,,-0.001212,-12,,,,,-0.001212,-56
,,,-0.0012110001,-10,,,,,-0.0012110001,-54
,,,-0.0012100001,-8,,,,,-0.0012100001,-50
,,,-0.0012090001,-6,,,,,-0.0012090001,-48
,,,-0.0012080001,-4,,,,,-0.0012080001,-46
,,,-0.0012070001,-2,,,,,-0.0012070001,-44
,,,-0.0012060001,-2,,,,,-0.0012060001,-42
,,,-0.0012050001,2,,,,,-0.0012050001,-38
,,,-0.0012040001,4,,,,,-0.0012040001,-36
,,,-0.0012030001,4,,,,,-0.0012030001,-32
,,,-0.0012020001,6,,,,,-0.0012020001,-30
,,,-0.0012010001,6,,,,,-0.0012010001,-28
,,,-0.0012000001,10,,,,,-0.0012000001,-26
,,,-0.001199,12,,,,,-0.001199,-22
,,,-0.001198,14,,,,,-0.001198,-20
,,,-0.001197,16,,,,,-0.001197,-16
,,,-0.0011960001,16,,,,,-0.0011960001,-14
,,,-0.0011950001,18,,,,,-0.0011950001,-12
,,,-0.0011940001,20,,,,,-0.0011940001,-8
,,,-0.0011930001,24,,,,,-0.0011930001,-6
,,,-0.0011920001,24,,,,,-0.0011920001,-4
,,,-0.0011910001,28,,,,,-0.0011910001,0
,,,-0.0011900001,28,,,,,-0.0011900001,2
,,,-0.0011890001,30,,,,,-0.0011890001,6
,,,-0.0011880001,32,,,,,-0.0011880001,8
,,,-0.0011870001,34,,,,,-0.0011870001,10
,,,-0.0011860001,36,,,,,-0.0011860001,12
,,,-0.0011850001,38,,,,,-0.0011850001,14
,,,-0.0011840001,40,,,,,-0.0011840001,16
,,,-0.001183,40,,,,,-0.001183,18
,,,-0.001182,44,,,,,-0.001182,22
,,,-0.0011810001,46,,,,,-0.0011810001,24
