Record Length,2500,Points,Tiempo1,Voltaje1,,,,,Tiempo2,Voltaje2
Sample Interval,1E-06,s,-0.0012500001,30,,Record Length,2500,Points,-0.0012500001,100
Trigger Point,1250.0002,Samples,-0.0012490001,28,,Sample Interval,1E-06,s,-0.0012490001,98
,,,-0.0012480001,28,,Trigger Point,1250.0002,Samples,-0.0012480001,98
,,,-0.0012470001,26,,,,,-0.0012470001,98
,,,-0.0012460001,26,,,,,-0.0012460001,96
Source,CH1,,-0.0012450001,24,,,,,-0.0012450001,96
Vertical Units,Volts,,-0.001244,24,,Source,CH2,,-0.001244,96
Vertical Scale,50,,-0.001243,22,,Vertical Units,Volts,,-0.001243,96
Vertical Offset,0,,-0.0012420001,22,,Vertical Scale,50,,-0.0012420001,94
Horizontal Units,s,,-0.0012410001,22,,Vertical Offset,0,,-0.0012410001,94
Horizontal Scale,0.00024999999937,,-0.0012400001,20,,Horizontal Units,s,,-0.0012400001,92
Pt Fmt,Y,,-0.0012390001,20,,Horizontal Scale,0.00024999999937,,-0.0012390001,92
Yzero,0.16,,-0.0012380001,18,,Pt Fmt,Y,,-0.0012380001,90
Probe Atten,10,,-0.0012370001,16,,Yzero,0.08,,-0.0012370001,90
,,,-0.0012360001,16,,Probe Atten,10,,-0.0012360001,88
Note, - 6:57:13 p. m.   11/03/2021,,-0.0012350001,14,,,,,-0.0012350001,88
,,,-0.0012340001,14,,Note, - 6:57:13 p. m.   11/03/2021,,-0.0012340001,86
,,,-0.0012330001,14,,,,,-0.0012330001,84
,,,-0.0012320001,12,,,,,-0.0012320001,82
,,,-0.0012310001,10,,,,,-0.0012310001,82
,,,-0.0012300001,10,,,,,-0.0012300001,80
,,,-0.001229,8,,,,,-0.001229,80
,,,-0.001228,6,,,,,-0.001228,78
,,,-0.0012270001,6,,,,,-0.0012270001,76
,,,-0.0012260001,4,,,,,-0.0012260001,74
,,,-0.0012250001,4,,,,,-0.0012250001,72
,,,-0.0012240001,4,,,,,-0.0012240001,72
,,,-0.0012230001,2,,,,,-0.0012230001,70
,,,-0.0012220001,2,,,,,-0.0012220001,68
,,,-0.0012210001,0,,,,,-0.0012210001,68
,,,-0.0012200001,0,,,,,-0.0012200001,66
,,,-0.0012190001,-2,,,,,-0.0012190001,64
,,,-0.0012180001,-2,,,,,-0.0012180001,64
,,,-0.0012170001,-4,,,,,-0.0012170001,62
,,,-0.0012160001,-4,,,,,-0.0012160001,60
,,,-0.0012150001,-6,,,,,-0.0012150001,58
,,,-0.001214,-6,,,,,-0.001214,56
,,,-0.001213,-8,,,,,-0.001213,54
,,,-0.001212,-10,,,,,-0.001212,52
,,,-0.0012110001,-10,,,,,-0.0012110001,50
,,,-0.0012100001,-12,,,,,-0.0012100001,50
,,,-0.0012090001,-12,,,,,-0.0012090001,48
,,,-0.0012080001,-14,,,,,-0.0012080001,46
,,,-0.0012070001,-14,,,,,-0.0012070001,44
,,,-0.0012060001,-16,,,,,-0.0012060001,40
,,,-0.0012050001,-16,,,,,-0.0012050001,38
,,,-0.0012040001,-18,,,,,-0.0012040001,38
,,,-0.0012030001,-20,,,,,-0.0012030001,36
,,,-0.0012020001,-20,,,,,-0.0012020001,32
,,,-0.0012010001,-22,,,,,-0.0012010001,32
,,,-0.0012000001,-22,,,,,-0.0012000001,30
,,,-0.001199,-22,,,,,-0.001199,28
,,,-0.001198,-24,,,,,-0.001198,26
,,,-0.001197,-26,,,,,-0.001197,24
,,,-0.0011960001,-26,,,,,-0.0011960001,22
,,,-0.0011950001,-26,,,,,-0.0011950001,20
,,,-0.0011940001,-28,,,,,-0.0011940001,18
,,,-0.0011930001,-30,,,,,-0.0011930001,16
,,,-0.0011920001,-30,,,,,-0.0011920001,12
